Forge,Link Count
spivey.oriel.ox.ac.uk,0
git.haproxy.org,0
gitlab.lms.tf.fau.de,0
forge.frm2.tum.de,0
megous.com,0
git.clsr.net,0
git.terceiro.xyz,0
freedesktop.org,0
svn.magnolia-cms.com,0
git.tronto.net,0
git.alexwennerberg.com,0
git.bobc.io,0
pecl.php.net,0
gitea.geologie.ac.at,0
git.mob-dev.fr,0
commondatastorage.googleapis.com,0
project.tecposter.cn,0
git.abfelbaum.dev,0
git.nicholasjohnson.ch,0
gitlab.uni.lu,0
git.average.name,0
www.dev.java.net,0
h2031995.stratoserver.net,0
nakedobjects.svn.sourceforge.net,0
gitlab.ifi.lmu.de,0
hg.prosody.im,0
selenic.com,0
git.mihon.dev,0
git.dpkg.org,0
www.libsdl.org,0
undef.tools,0
common-lisp.net,0
cgit.freedesktop.org,0
git.botox.bz,0
git.aurel32.net,0
anongit.freedesktop.org,0
gerrit.wikimedia.org,0
git.toradex.com,0
gem5.googlesource.com,0
git.ifornew.com,0
hg.openjdk.java.net,0
gitlabjf.ccomptes.fr,0
git.jrosset.ovh,0
pwmt.org,0
gitlab.matrix.org,0
source.puri.sm,0
gitea.math.uni-leipzig.de,0
git.akselmo.dev,0
svn.sourceforge.net,0
netfilter.org,0
git.opencarp.org,0
depot.lipn.univ-paris13.fr,0
wamblee.org,0
codeload.github.com,0
git.lepiller.eu,0
endless-turtles.com,0
git.lttng.org,0
bazaar.launchpad.net,0
w1.fi,0
hacktivis.me,0
git.ffnw.de,0
www.linphone.org,0
git.hypermetrica.com,0
www.brianlane.com,0
svn.dojotoolkit.org,0
git.rockbox.org,0
gitlab.wklive.net,0
git.argentina.gob.ar,0
pulkomandy.tk,0
nginx.org,0
gitlab.cwd.at,0
anonhg.netbsd.org,0
gitea.i15.nl,0
git.apache.org,0
www.webkitgtk.org,0
mirrors.kodi.tv,0
5.160.13.75:8044,0
git.theczech.io,0
basher.svn.sourceforge.net,0
developers.yubico.com,0
git.claws-mail.org,0
git.hazaar.io,0
svn.jdtaus.org,0
symmetricds.svn.sourceforge.net,0
ftp.alsa-project.org,0
archive.apache.org,0
oligarchy.co.uk,0
git.alsa-project.org,0
files.dthompson.us,0
git.lighttpd.net,0
git.b9.com,0
java.net,0
gitlab.tic-ac.org,0
marlam.de,0
git.customd.com,0
www.python.org,1
gitlab.fipps.de,0
gitlab.lakedrops.com,0
gitlab.libresilicon.com,0
git.ircad.fr,0
caml.inria.fr,0
jwebunit.svn.sourceforge.net,0
jeuclid.svn.sourceforge.net,0
www.opensmtpd.org,0
git.freenode.net,0
git.gnumonks.org,0
git.alarsyo.net,0
git.digitalstudium.com,0
git.deprecated.org,0
download.cdn.mozilla.net,0
git.gotroot.ca,0
edu-git.ac-versailles.fr,0
git.tuxfamily.org,0
ocaml.janestreet.com,0
svn.codespot.com,0
git.ademe.fr,0
git.neodarz.net,0
src.koda.cnrs.fr,0
simplericity.org,0
foal@bitbucket.org,0
linux-ip.net,0
git.dsource.org,0
mspgcc.bzr.sourceforge.net,0
guest:guest@www.os2museum.com,0
git.bde-insa-lyon.fr,0
download.samba.org,0
code.briarproject.org,0
www.cl.cam.ac.uk,0
coos.svn.sourceforge.net,0
archive.torproject.org,0
git.blakerain.com,0
http.debian.net,0
acpica.org,0
pari.math.u-bordeaux.fr,0
downloads.haskell.org,0
git.koha-community.org,0
hgm.nubati.net,0
people.redhat.com,0
osdn.dl.osdn.jp,0
svn.neo4j.org,0
git.adrian.geek.nz,0
git.fluxbox.org,0
git.beta.pole-emploi.fr,0
www.scintilla.org,0
gitcafe.com,0
cache.ruby-lang.org,0
git.chimrod.com,0
pele.farmbio.uu.se,0
avap.codes,0
git.singpolyma.net,0
gitlab.cylab.be,0
www.openssl.org,0
gnupg.org,0
www.gaia-gis.it,0
gitlab.sgalinski.de,0
git.ameliorated.info,0
dl.2f30.org,0
git.dev.epartment.nl,0
git.sc.uni-leipzig.de,0
people.freedesktop.org,0
wicket-stuff.svn.sourceforge.net,0
elife.stencila.io,0
xcb.freedesktop.org,0
gitlab.atreo.cz,0
gitlab.bighead.net,0
ftp-master.debian.org,0
dune-project.org,0
g.gitwu.cc,0
git.ralph.or.at,0
git.dblsaiko.net,0
git.openssl.org,0
tildegit.org,0
git.suckless.org,0
secure.nic.cz,0
git.codehaus.org,0
www.texmacs.org,0
git.hugovil.com,0
code.jquery.com,0
gitlab.science.mcgill.ca,0
git.freespeechextremist.com,0
ftp.netfilter.org,0
git.fripost.org,0
bunkrbit.com,0
dotnetcli.azureedge.net,0
git.ideasonboard.org,0
artifacts.elastic.co,0
ftp.infradead.org,0
gitea.deokonai.fr,0
download.documentfoundation.org,0
openutils.svn.sourceforge.net,0
git.openbox.org,0
www-fourier.ujf-grenoble.fr,0
git.feneas.org,0
java_re@svn.java.net,0
software.sil.org,0
git.esempla.systems,0
git.egiz.gv.at,0
www.spice-space.org,0
gitlab.caltech.edu,0
git.toastfreeware.priv.at,0
git.guilhem.org,0
www.lalescu.ro,0
bitbucket.tornevall.net,0
git.netfilter.org,0
mesa.freedesktop.org,0
git.dyninst.org,0
git.jakstys.lt,0
git.deb.at,0
git.hebidu.cn,0
secure.php.net,0
git.nuiton.org,0
github.paypal.com,0
git.sv.gnu.org,0
sunsite.icm.edu.pl,0
downloads.arduino.cc,0
dbus.freedesktop.org,0
git.lxde.org,0
gitea.irixce.org,0
lily.kazv.moe,0
www.bioconductor.org,0
software.intel.com,0
git.sesse.net,0
gitea.arknix.com,0
gitlab.pasteur.fr,0
anonymous@cvs.openacs.org,0
www.bitbucket.org,0
git.dotslashplay.it,0
support.hdfgroup.org,0
www.catb.org,0
gitea.va.reichard.io,0
nuiton.org,0
www.aquamaniac.de,0
gitlab.embarknow.net,0
git.garbaye.fr,0
gitlab.fing.edu.uy,0
git01.mediatek.com,0
git.mdcc.cx,0
wpewebkit.org,0
delwink.com,0
code.treora.com,0
www.oilshell.org,0
cdn.openttd.org,0
gnu.googlesource.com,0
svn.synyx.org,0
gcc.gnu.org,0
git.softwrestling.org,0
git.ricketyspace.net,0
hg.five-ten-sg.com,0
deb.debian.org,0
gitea.your-land.de,0
gitea.digitalcircle.com.br,0
git.ikilote.net,0
jxls.svn.sourceforge.net,0
git.geany.org,0
dist.torproject.org,0
i3wm.org,0
legato.svn.sourceforge.net,0
git.inai.de,0
plugins.svn.wordpress.org,0
openprinting.org,0
atom.io,0
svn.terracotta.org,0
gogs.librecmc.org,0
kernel.ubuntu.com,0
source.copyninja.in,0
hg.libsdl.org,0
ftp.denx.de,0
gitea.ttmath.org,0
huggingface.co,1
ftp.openbsd.org,0
git.dml-express.com,0
gitlab.dragonflyaerospace.com,0
svn.jomc.org,0
git.ageinghacker.net,0
nodejs.org,0
brick.kernel.dk,0
www.nlnetlabs.nl,0
tug.org,0
git.ee.ethz.ch,0
www.mercurial-scm.org,0
hafnium.googlesource.com,0
git.lix.systems,0
ffmpeg.org,0
git.obis-concept.de,0
repo.aduna-software.org,0
git.skeeks.com,0
opensource.kantega.no,0
gitlab.shinice.net,0
git.9front.org,0
www.netlib.org,0
code.tar-jx.bz,0
git.ethitter.com,0
te4.org,0
mediaarea.net,0
phabricator.magic3w.com,0
git.dawidpotocki.com,0
gitea.dashucun.com,0
cdn.datatables.net,0
svn.ralph-schuster.eu,0
svn.eu.apache.org,0
git.gavinhoward.com,0
dezyne.org,0
hg.java.net,0
googlers.googlesource.com,0
bigsearcher.com,0
buildbox.svn.sourceforge.net,0
jsp.dev.java.net,0
git.0x0.st,0
git.exim.org,0
telepathy.freedesktop.org,0
www.halle-development.com,0
gitlab.vcatechnology.com,0
dist.ipfs.io,0
acegisecurity.svn.sourceforge.net,0
notmuchmail.org,0
bitbucket.valentin-lacour.pro,0
git.catgirl.land,0
sezpoz.dev.java.net,0
ar57@svn.code.sf.net,0
git.0d.be,0
dotcolon.net,0
download.savannah.nongnu.org,0
uel.dev.java.net,0
svn.sourceforge.jp,0
s3.amazonaws.com,1
git.exozy.me,0
www.xpra.org,0
dev.yorhel.nl,0
aomedia.googlesource.com,0
projects.archlinux.org,0
www.sudo.ws,0
git.mirzaev.sexy,0
git.lu.lv,0
ftp.gnustep.org,0
lttng.org,0
jears.at,0
www.w3.org,37
download.qemu.org,0
files.pharo.org,0
gitlab.fresnel.fr,0
HeshamEldeeb@bitbucket.org,0
hg.ctpug.org.za,0
git.meiji.media,0
gitlab.taoti.com,0
git.onthegosystems.com,0
www.unbound.net,0
www.hepforge.org,0
www.open-mpi.org,0
cvs.sv.nongnu.org,0
git.bb1.fun,0
www.coin-or.org,1
review.coreboot.org,0
download.ceph.com,0
gitlab.jonathan-martz.de,0
git.aubio.org,0
source.stickycode.net,0
git.candlhat.org,0
jsptest.svn.sourceforge.net,0
dist.libuv.org,0
git.drupal.org,0
gforge.inria.fr,4
dl.matroska.org,0
gitlab.metromobilite.fr,0
git.kopf-tisch.de,0
files.ngyro.com,0
data.iana.org,0
0pointer.de,0
www.eclipse.org,0
kenai.com,0
git.des.dev,0
weechat.org,0
git.kerekit.hu,0
www.alsa-project.org,0
svn.edgewall.org,0
hg.orthanc-server.com,0
gnu-hylafax.svn.sourceforge.net,0
git.spooner.io,0
git.kyleam.com,0
git.systemreboot.net,0
redwax.eu,0
gitea.presley.nz,0
get.videolan.org,0
docs.python.org,0
gitea.nouspiro.space,0
gitea.communiquons.org,0
ftp.sun.ac.za,0
gitlab.mjus.gba.gob.ar,0
thekelleys.org.uk,0
gitea.caracals.org,0
gitlab.orbitntnu.com,0
webrtc.googlesource.com,0
smarden.org,0
codes.kemnaker.go.id,0
git.cbaines.net,0
git.nefarius.at,0
buildd.debian.org,0
git.distress.network,0
svn.mnode.org,0
www.renpy.org,0
dist.schmorp.de,0
tarballs.nixos.org,0
download.blender.org,0
downloads.open-mesh.org,0
ftp.invisible-island.net,0
git.stoutner.com,0
sweble.org,0
gitlab.stums.techfak.fau.de,0
sorcerer.dev.java.net,0
www.docbook.org,0
download.schedmd.com,0
tulpa.dev,0
git.simon.geek.nz,0
geolite.maxmind.com,0
sg.danny.cz,0
spritely.institute,0
danielnoethen.de,0
anonscm.debian.org,0
git.econda.de,0
mupdf.com,0
gitlab.seis.exa2pro.iti.gr,0
jamon.svn.sourceforge.net,0
ftp.ncbi.nlm.nih.gov,0
sources.archlinux.org,0
downloads.videolan.org,0
fallabs.com,0
svn.cometd.com,0
www.multiprecision.org,0
www.mirbsd.org,0
git.exotic.sh,0
git.osmocom.org,0
www.astromatic.net,0
www.gedanken.org.uk,0
www.wireshark.org,0
flatassembler.net,0
git.bioconductor.org,0
svn.cmeerw.net,0
git.3naly.xyz,0
treleis.org,0
mdisconzi@bitbucket.org,0
dev.gentoo.org,0
benoitf@svn.forge.objectweb.org,0
git.openstreetmap.org,0
gitea.apps.kunc.me,0
icculus.org,0
git.fdn.fr,0
www.zrythm.org,0
git.eng.unimelb.edu.au,0
download.filezilla-project.org,0
fossies.org,0
gitlab.mobilites-m.fr,0
strace.io,0
www.abisource.com,0
www.6809.org.uk,0
git.lysator.liu.se,0
inria.halpreprod.archives-ouvertes.fr,0
